"Evangelist","エバンジェリスト(1)"
"Small Successes","小さな成功(2)"
"Step by Step","ステップバイステップ(3)"
"Test the Waters","予備調査(4)"
"Time for Reflection","ふりかえりの時間(5)"
"Ask for Help","協力を求める(6)"
"Brown Bag","ブラウンバッグ・ミーティング(7)"
"Connector","コネクター(8)"
"Do Food","何か食べながら(9)"
"e-Forum","電子フォーラム(10)"
"Early Adopter","アーリーアダプター(11) "
"External Validation","外部のお墨付き(12)"
"Group Identity","グループのアイデンティティ(13)"
"Guru on Your Side","達人を味方に(14)"
"In Your Space","空間を演出する(15)"
"Innovator","イノベーター(16)"
"Just Do It","やってみる(17)"
"Just Say Thanks","感謝を伝える(18)"
"Next Steps","次のアクション(19)"
"Personal Touch","個人的な接触(20)"
"Piggyback","便乗(21)"
"Plant the Seeds","種をまく(22)"
"The Right Time","適切な時期(23)"
"Stay in Touch","定期的な連絡(24)"
"Study Group","勉強会(25)"
"Tailor Made","テイラーメイド(26)"
"Big Jolt","著名人を招く(27)"
"Corporate Angel","経営層の支持者(28)"
"Dedicated Champion","正式な推進担当者(29)"
"Early Majority","アーリーマジョリティ(30)"
"Guru Review","達人のレビュー(31)"
"Hometown Story","体験談の共有(32)"
"Involve Everyone","みんなを巻き込む(33)"
"Just Enough","ちょうど十分(34)"
"Local Sponsor","身近な支援者(35)"
"Location, Location, Location","場所重要(36)"
"Mentor","メンター(37)"
"Royal Audience","謁見(38)"
"Shoulder to Cry On","相談できる同志(39)"
"Smell of Success","成功の匂い(40)"
"Sustained Momentum","勢いの持続(41)"
"Token","トークン(42)"
"Bridge-Builder","橋渡し役(43)"
"Champion Skeptic","懐疑派代表(44)"
"Corridor Politics","根回し(45)"
"Fear Less","怖れは無用(46)"
"Trial Run","お試し期間(47)"
"Whisper in the General’s Ear","将軍の耳元でささやく(48)"

